text,label
"Sandberg, Dakar Shalom,  Jian Shen, Marco Sogliani, Lucjan Stapp, Yaron Tsubery, Sabine Uhde,",Body
"Stephanie Ulrich, Tommi Välimäki, Jurian Van de Laar, Marnix Van den Ent, António Vieira Melo, Wenye",Body
"Xu, Ester Zabar, Wenqiang Zheng, Peter Zimmerer, Stevan Zivanovic, and Terry Zuo.",Body
"This document was formally approved for release by the General Assembly of the ISTQB® on May 31,",Body
2014.,Body
Version 2014,Body
Page 5 of 12,Body
"May 31, 2014",Body
© International Software Testing Qualifications Board,Body
Qualifications Board,Body
International,Body
Overview,Body
Software Testing,Body
Foundation Level Extension – Agile Tester,Body
1. Introduction to the Foundation Level Extensions,H1
This overview document is intended for anyone with an interest in the ISTQB Foundation Level,Body
Extensions who wants a high-level introduction to the leading principles and an overview of the individual,Body
extension syllabi.,Body
"From time to time, ISTQB will update this document to reflect any additional extensions that shall be",Body
"introduced for the Foundation Level, or to reflect major changes in existing ones. Publications of the",Body
updated document will be available on the ISTQB website.,Body
The ISTQB Foundation and Advanced Level syllabi have been defined and have been on the market for,Body
some time. New topics emerge due to technology and methodology changes in the market which often,Body
"are brought into the ISTQB program as new Expert Level syllabi. However, not all topics are suited for the",Body
"Expert Level. For this reason, the extension syllabi are established at the Foundation Level to expand the",Body
ISTQB program to incorporate new or updated knowledge. New extensions shall be discussed and,Body
"introduced by the ISTQB periodically. Extensions may be established at the Advanced Level as well, but",Body
that is beyond the scope of this document.,Body
The following Foundation Level Extension syllabus has been released:,Body
,Body
Agile Tester,Body
"In this document, each Foundation Level Extension syllabus is summarized and the associated Business",Body
Outcomes are stated. The Business Outcomes communicate what can be expected from a person who,Body
"achieves a Foundation Level Extension Certification in a particular subject area (e.g., Agile Tester), and",Body
will outline the benefits for companies that are considering the development of specific testing skills at this,Body
level.,Body
Version 2014,Body
Page 6 of 12,Body
"May 31, 2014",Body
© International Software Testing Qualifications Board,Body
Qualifications Board,Body
International,Body
Overview,Body
Software Testing,Body
Foundation Level Extension – Agile Tester,Body
2. Introduction to Foundation Level Agile Tester Extension,H1
The certification for Foundation Level Extension – Agile Tester is designed for professionals who are,Body
working within Agile environments. It is also for professionals who are planning to start implementing,Body
"Agile methods in the near future, or are working within companies that plan to do so, The certification",Body
"provides an advantage for those who would like to know the required Agile activities, roles, methods, and",Body
methodologies specific to their role.,Body
2.1 Intended Audience,H2
The Foundation Level Extension – Agile Tester qualification is aimed at four main groups of professionals:,Body
1. Professionals who have achieved in-depth testing experience in traditional methods and would,Body
like to get an Agile Tester Certificate.,Body
"2. Junior professional testers who are just starting in the testing profession, have received the",Body
"Foundation Level certificate, and would like to know more about the tester’s role in an Agile",Body
environment.,Body
"3. Professionals who are relatively new to testing and are required to implement test approaches,",Body
methods and techniques in their day to day job in Agile projects.,Body
4. Professionals who are experienced in their role (including unit testing) and need more,Body
understanding and knowledge about how to perform and manage testing on all levels in Agile,Body
projects.,Body
"These professionals include people who are in roles such as testers, test analysts, test engineers, test",Body
"consultants, test managers, user acceptance testers, and software developers.",Body
This Foundation Level Extension – Agile Tester certification may also be appropriate for anyone who,Body
"wants a deeper understanding of software testing in the Agile world, such as project managers, quality",Body
"managers, software development managers, business analysts, IT directors, and management",Body
consultants.,Body
2.2 Career Paths for Testers,H2
"Building on the Foundation Level, the Agile Tester Extension supports the definition of career paths for",Body
professional testers. A person with the Agile Tester certificate has extended the broad understanding of,Body
testing acquired at the Foundation Level to enable him or her to work effectively as a professional tester in,Body
an Agile project.,Body
People possessing an ISTQB Foundation Level Extension – Agile Tester certificate may use the Certified,Body
Tester Foundation Level acronym CTFL-AT.,Body
2.3 Learning Objectives,H2
"In general, the Foundation Level syllabus is examinable at a K1 level, i.e., the candidate will recognize,",Body
remember and recall terms and concepts stated in the Foundation Level syllabus.,Body
"In addition, all Foundation Level syllabus learning objectives are examinable at the same K- level in an",Body
extension exam.,Body
Version 2014,Body
Page 7 of 12,Body
"May 31, 2014",Body
© International Software Testing Qualifications Board,Body
Qualifications Board,Body
International,Body
Overview,Body
Software Testing,Body
Foundation Level Extension – Agile Tester,Body
"That said, each extension level exam focuses on the learning objectives defined in that extension",Body
"syllabus. The relevant learning objectives at K1, K2, and K3 levels are provided at the beginning of each",Body
chapter within each particular extension syllabus.,Body
2.4 Entry Requirements,H2
"To be able to participate in a Foundation Level Extension – Agile Tester exam, candidates must have",Body
obtained the ISTQB Foundation Level certificate.,Body
2.5 Structure and Course Duration,H2
The Foundation Level Extension – Agile Tester syllabus has no shared or common elements with the,Body
Foundation Level syllabus.,Body
The syllabi must be taught in the following minimum number of days:,Body
Syllabus,Body
Days,Body
Baseline: Foundation,Body
3,Body
Extension: Agile Tester,Body
2,Body
The following figure shows the structure of the Agile Tester Extension and its relationship to the,Body
Foundation Level.,Body
Version 2014,Body
Page 8 of 12,Body
"May 31, 2014",Body
© International Software Testing Qualifications Board,Body
Qualifications Board,Body
International,Body
Overview,Body
Software Testing,Body
Foundation Level Extension – Agile Tester,Body
2.6 Keeping It Current,H2
The software industry changes rapidly. To deal with these changes and to provide the stakeholders with,Body
"access to relevant and current information, the ISTQB working groups have created links on the",Body
"www.istqb.org web site which refer to supporting documents, changes to standards and new occurrences",Body
in the industry. This information is not examinable under this syllabus.,Body
Version 2014,Body
Page 9 of 12,Body
"May 31, 2014",Body
© International Software Testing Qualifications Board,Body
Qualifications Board,Body
International,Body
Overview,Body
Software Testing,Body
Foundation Level Extension – Agile Tester,Body
3. Overview of the Foundation Level Extension – Agile Tester,Body
Syllabus,Body
3.1 Business Outcomes,H2
This section lists the Business Outcomes expected of a candidate who has achieved the Foundation Level,Body
Extension – Agile Tester certification.,Body
An Agile Tester can…,Body
AFM1,Body
Collaborate in a cross-functional Agile team being familiar with principles and basic,Body
practices of Agile software development.,Body
AFM2,Body
Adapt existing testing experience and knowledge to Agile values and principles.,Body
AFM3,Body
Support the Agile team in planning test-related activities.,Body
AFM4,Body
Apply relevant methods and techniques for testing in an Agile project.,Body
AFM5,Body
Assist the Agile team in test automation activities.,Body
AFM6,Body
"Assist business stakeholders in defining understandable and testable user stories,",Body
"scenarios, requirements and acceptance criteria as appropriate.",Body
AFM7,Body
Work and share information with other team members using effective communication,Body
styles and channels.,Body
"In general, a Certified Tester Foundation Level – Agile Tester is expected to have acquired the necessary",Body
skills to working effectively within an Agile team and environment.,Body
3.2 Content,H2
Chapter 1: Agile Software Development,Body
,Body
The tester should remember the basic concept of Agile software development based on the Agile,Body
Manifesto.,Body
,Body
The tester should understand the advantages of the whole-team approach and the benefits of,Body
early and frequent feedback.,Body
,Body
The tester should recall Agile software development approaches.,Body
,Body
The tester should be able to write testable user stories in collaboration with developers and,Body
business representatives.,Body
,Body
The tester should understand how retrospectives can be used as a mechanism for process,Body
improvement in Agile projects.,Body
,Body
The tester should understand the use and purpose of continuous integration.,Body
,Body
"The tester should know the differences between iteration and release planning, and how a tester",Body
adds value in each of these activities.,Body
Version 2014,Body
Page 10 of 12,Body
"May 31, 2014",Body
© International Software Testing Qualifications Board,Body
International,Body
Overview,Body
Software Testing,Body
Foundation Level Extension – Agile Tester,Body
Qualifications,Body
Board,Body
"Chapter 2: Fundamental Agile Testing Principles, Practices, and Processes",Body
,Body
The tester should be able to describe the differences between testing activities in Agile projects,Body
and non-Agile projects.,Body
,Body
The tester should be able to describe how development and testing activities are integrated in,Body
Agile projects.,Body
,Body
The tester should be able to describe the role of independent testing in Agile projects.,Body
,Body
The tester should be able to describe the tools and techniques used to communicate the status of,Body
"testing in an Agile project, including test progress and product quality.",Body
,Body
The tester should be able to describe the process of evolving tests across multiple iterations and,Body
explain why test automation is important to manage regression risk in Agile projects.,Body
,Body
"The tester should understand the skills (people, domain, and testing) of a tester in an Agile team.",Body
,Body
The tester should be able to understand the role of a tester within an Agile team.,Body
"Chapter 3: Agile Testing Methods, Techniques, and Tools",Body
,Body
"The tester should be able to recall the concepts of test-driven development, acceptance test-",Body
"driven development, and behavior-driven development.",Body
,Body
The tester should be able to recall the concepts of the test pyramid.,Body
,Body
The tester should be able to summarize the testing quadrants and their relationships with testing,Body
levels and testing types.,Body
,Body
"For a given Agile project, the tester should be able to work as a tester in a Scrum team.",Body
,Body
The tester should be able to assess quality risks within an Agile project.,Body
,Body
The tester should be able to estimate testing effort based on iteration content and quality risks.,Body
,Body
The tester should be able to interpret relevant information to support testing activities.,Body
,Body
The tester should be able to explain to business stakeholders how to define testable acceptance,Body
criteria.,Body
,Body
"Given a user story, the tester should be able to write acceptance test-driven development test",Body
cases.,Body
,Body
"For both functional and non-functional behavior, the tester should be able to write test cases using",Body
black box test design techniques based on given user stories.,Body
,Body
The tester should be able to perform exploratory testing to support the testing of an Agile project.,Body
,Body
The tester should be able to recall different tools available to testers according to their purpose,Body
and to activities in Agile projects.,Body
Version 2014,Body
Page 11 of 12,Body
"May 31, 2014",Body
© International Software Testing Qualifications Board,Body
Qualifications Board,Body
International,Body
Overview,Body
Software Testing,Body
Foundation Level Extension – Agile Tester,Body
4. References,H1
4.1 Trademarks,H2
The following registered trademarks and service marks are used in this document:,Body
ISTQB ® is a registered trademark of the International Software Testing Qualifications Board,Body
4.2 Documents and Web Sites,H2
Identifier,Body
Reference,Body
[ISTQB-Web],Body
Web site of the International Software Testing Qualifications Board. Refer,Body
to this website for the latest ISTQB Glossary and Syllabi. (www.istqb.org),Body
Version 2014,Body
Page 12 of 12,Body
"May 31, 2014",Body
© International Software Testing Qualifications Board,Body
Ontario’s Libraries,Body
Working Together,Body
RFP: R,Body
RFP: R,Body
RFP: R,Body
RFP: Reeeequest f,Body
quest f,Body
quest f,Body
quest foooor Pr,Body
r Pr,Body
r Pr,Body
r Proposal,Body
oposal,Body
oposal,Body
oposal,Body
To Present a Proposal for Developing,Body
the Business Plan for the Ontario,Body
Digital Library,Body
"March 21, 2003",Body
"The Ontario Digital Library will make Ontario a better place to study, work and live by ensuring that",Body
all Ontario citizens have access to the knowledge and learning supports needed to be life-long,Body
learners and effective contributors towards Ontario’s prosperity.,Body
Ontario’s Digital Library,H1
A Critical Component for Implementing Ontario’s Road Map to,Body
Prosperity Strategy,Body
Summary,H2
The purpose of this Request for Proposal ( RFP ) is to invite firms and/or consultants to,Body
present a proposal for developing the business plan for the Ontario Digital Library (ODL).,Body
The ODL will deliver high-quality library electronic content to all Ontario residents in order to,Body
"assist people as they learn, work, and enhance their quality of life. The business plan to be",Body
developed is to document and clearly communicate:,Body
"how the ODL will be implemented, including the timeline",Body
the financial plan for the implementation,Body
"the financial plan for the first 2 operating years, including capital and operating costs,",Body
"revenues, etc.",Body
a financial forecast for the succeeding 2 operating years,Body
the services and products to be delivered by the ODL,Body
how the ODL will operate and be managed following the implementation,Body
"who will be involved, and what their role/responsibility will be, for both the",Body
implementation and operational stages,Body
the marketing and communications plan for the ODL,Body
This business plan must be completed and approved by the ODL Steering Committee no,Body
"later than September 30, 2003",Body
Timeline:,H3
Those firms/consultants intended to submit a proposal to this RFP must indicate their,Body
intention to do so in an e-mail to Michael Ridley ( mridley@uoguelph.ca ) by April 11 th .,Body
"Proposals may be e-mailed, mailed, couriered or faxed to: Larry Moore",Body
"( lmoore@accessola.com ), Executive Director, The Ontario Library Association, 100 Lombard",Body
"St., Suite 303, Toronto, ON  M5C 1M3. Proposals must be received by Noon on Monday,",Body
"April 21, 2003.",Body
Those proposals that are short-listed will be invited to discuss their proposal during the week,Body
"of April 28, 2003 . No presentation will be expected. Firms or consultants invited to an",Body
interview will be expected to discuss the project and their approach with the selection,Body
committee .,Body
"Contracts with the firm/consultant will be signed the week of May 5, 2003 with the work to",Body
commence as soon as possible thereafter.,Body
RFP: To Develop the Ontario Digital Library Business Plan,Body
March 2003,Body
2222,Body
Please note that we reserve the right not to select any of the submitted proposals and may,Body
seek further response to these Terms of Reference.,Body
"If you require further information or have any questions, please contact Michael Ridley by e-",Body
mail ( mridley@uoguelph.ca ) only by 3:00 p.m. on Friday April 18th . All questions and,Body
responses will be shared with those who have indicated that they will be submitting a,Body
"proposal. Please note, that firms/consultants who have not indicated in an e-mail to Michael",Body
Ridley by April 11 th that they will be submitting a proposal will not receive any further,Body
information or question responses.,Body
Background,H2
"First, some background on the ODL. For the last two years the Ontario Library Association",Body
"has acted as a catalyst, bringing together the stakeholders needed to create the Ontario",Body
"Digital Library (ODL). These stakeholders include Ontario’s 5000+ public libraries, university,",Body
"college, and school libraries, as well as Ontario government ministries.",Body
Libraries that serve very different clientele recognize that by working together they can create,Body
"seamless access to quality electronic library services. Through the ODL, students will be",Body
"able to explore a topic at school, use the same child-safe resources after school (either at",Body
"home or at a public library), enter college or university with a knowledge of how to use",Body
"electronic resources that are still available and then, after graduation, continue to use these",Body
skills and resources at work or at home.,Body
We are moving into a period of convergence. With convergence we no longer have to license,Body
commercial products as individual libraries or institutions. We can work together to spend our,Body
money wisely. The provincial government has made this possible by working hard to provide,Body
"all Ontarians with a stable, high-speed communications infrastructure. While there is still a",Body
"great deal of work needed to improve this infrastructure, libraries are beginning to plan how",Body
best to exploit communications technology. We can reduce barriers to access and create the,Body
content infrastructure needed to support a knowledge society.,Body
"The concept of an ODL is a key element in The Roadmap to Prosperity , a strategic plan to",Body
envision and attain Ontario’s economic goal prepared by the Ontario Jobs and Investment,Body
Board. The OJIB strategic plan recommends an electronic library to “connect students to new,Body
"workplaces, new sources of information and applied learning opportunities”. The ODL will do",Body
"that and much more. The ODL will connect students to electronic information, and will also",Body
leverage this investment to help connect all citizens to the electronic information they need as,Body
"they make decisions, solve problems and enhance their quality of life.",Body
Libraries have long been a key delivery point for public services. The ODL will allow that,Body
"delivery point to move closer to citizens, into the smallest of libraries and even into living",Body
rooms.,Body
"Libraries have a long tradition of using a practical, consultative approach to solving problems,",Body
and of learning from others. The ODL is a very practical solution to various problems.,Body
Jurisdiction-wide digital libraries are very practical and very real. The ODL we propose is,Body
leading edge for Ontario but several jurisdictions have forged the path with collaborative,Body
"digital libraries. We can learn from their experiences. For example, The Alberta Library (TAL)",Body
RFP: To Develop the Ontario Digital Library Business Plan,Body
March 2003,Body
3333,Body
was incorporated in 1997 as a province-wide library consortium. TAL works collaboratively,Body
with its members to promote universal access to materials and resources in more than 250,Body
"public, post-secondary, special, government and regional libraries. Unlike ODL, TAL does",Body
"not include elementary or secondary schools. However, the timeline and funding we are",Body
proposing for ODL is comparable to TAL‘s experience. TAL’s business planning took several,Body
years. TAL’s implementation plan was supported by 8 million dollars in provincially shared,Body
"funding, spread over three years, later revised to 15 million dollars over 4 years. Not only is",Body
"Alberta’s population 30% of Ontario’s, TAL does not include elementary or secondary",Body
schools as partners; it has 250 member libraries. ODL envisions universal access for all,Body
"10,000,000 Ontarians, with more than 5000 Ontario libraries as partners. Although ODL can",Body
"learn from TAL’s practices, the scope of planning and implementing ODL is much larger than",Body
TAL.,Body
The ODL will be a partnership-based organization providing seamless electronic information,Body
services and resources to the citizens of Ontario. It will use local libraries as the entry point for,Body
common resources The ODL will recognize the unique responsibilities and needs of public,Body
"libraries, school libraries, college and university libraries and special libraries. The ODL",Body
"envisions a digital network of information resources, allowing members to collaborate when",Body
there is mutual benefit and to support the common mandates of local libraries.,Body
The principles which will define and guide the ODL are:,Body
Equitable access for all Ontarians:,H3
"We will bring consistent, high-quality electronic resources and services to 10 million",Body
Ontario citizens,Body
We will eliminate barriers to the access to information and create more consistent,Body
services for library clients.,Body
Shared decision-making and accountability:,H3
We will facilitate consensus among members regarding ODL’s portfolio of electronic,Body
licenses and services,Body
We will balance the interests and realities of small and large as well as rich and poor,Body
communities and institutions.,Body
Shared governance structure:,H3
We will share decision-making in order to enable the people we serve.,Body
We will work based on an underlying assumption of trust and synergy.,Body
Shared funding:,H3
"We will leverage provincial, institutional, and local dollars to realize economies of scale",Body
and put Ontario dollars to work for everyone .,Body
We will be willing to pool talents and dollars in order to provide common services that are,Body
truly greater than those that can be maintained by individual institutions.,Body
RFP: To Develop the Ontario Digital Library Business Plan,Body
March 2003,Body
4444,Body
Local points of entry:,H3
"We will provide the licenses, infrastructure, services and support that enable local",Body
"libraries to provide exceptional services to their clientele. ODL will focus on support,",Body
"providing the underpinning, not overshadowing.",Body
Services envisioned for the ODL’s include:,Body
Access:,H3
"to the “deep” web (i.e. Commercial, purchased electronic services)",Body
to credible web sites and electronic resources,Body
to digital government information,Body
to local digital collections,Body
Guidance and Advice:,H3
to support e-learning,Body
"to support citizens, in real-time, as they try to use electronic resources",Body
to assist citizens as they use web-links,Body
Training:,H3
for library workers,Body
for the general public,Body
Provincial Purchasing & Licensing:,H3
of electronic content on a consortia basis for all member libraries,Body
Technological Support:,H3
of common standards for the preservation and archiving local digital content,Body
of a common interface to ODL resources and services that can be imbedded in local,Body
library web sites,Body
What could the ODL really mean?,H3
For each Ontario citizen it could mean:,H4
One local point of entry to access seamless electronic library services and,Body
"resources for their personal, educational and professional needs;",Body
"Access to credible, high-quality, user-friendly electronic services through their",Body
"community, school, or academic library;",Body
Confidence that the electronic services and sources they – and their children,Body
"– are using are safe, valid, and bringing them both global and local",Body
perspectives;,Body
Electronic information and tools that enhance job skills and the learning,Body
experience,Body
For each Ontario student it could mean:,H4
"One local point of entry to quality, curriculum- based electronic information",Body
resources and services,Body
"Connection to their individual educational environment, whether at the",Body
"elementary, secondary or post-secondary levels",Body
RFP: To Develop the Ontario Digital Library Business Plan,Body
March 2003,Body
5555,Body
"Confidence that the services and resources people are using are credible,",Body
available when they need them and adaptable to different learning styles,Body
For each Ontario library it could mean:,H4
One point of entry for themselves and their clientele to quality electronic,Body
"resources and services that support and enhance their collections, programs",Body
and services,Body
"The opportunity to show case their local community, collections, services, and",Body
expertise,Body
"The opportunity to gain from the provincial, collaborative partnership in order",Body
to provide a seamless gateway to digital resources and services,Body
For the Ontario government it could mean:,H4
"A point of entry to information services and resources for all Ontario citizens,",Body
connecting to portal initiatives .,Body
Support of the Ontario E-Learning strategy through a collaborative digital,Body
library initiative that positions Ontario on the global e-learning scene,Body
Improved access and flexibility for all students at all ages and stages,Body
(supports Ontario’s lifelong learning strategy),Body
The opportunity to address emerging job skills shortages and facilitate school,Body
to work and job to job transitions with the necessary information and,Body
knowledge supports and tools,Body
ODL will be an incorporated non-profit organization governed by a Board of Directors elected,Body
by a voting membership. The Board will include representatives from all stakeholders. We,Body
envision a governance model similar to that prepared for the province’s ORION network.,Body
"More information regarding the envisioned phasing, funding and resources required for the",Body
ODL can be found in the appendixes.,Body
The Business Plan to be Developed,H2
The business plan which needs to be developed for the ODL must be a formal business plan,Body
"that documents and clearly communicates the ODL’s services, funding and governance",Body
"structures, as well as implementation plans for 2004-2005, and operational plans for 2005-",Body
"2007. The planning process must also secure the full commitment of all stakeholders, as",Body
represented on the Steering Committee.,Body
"Specifically, the business plan must include:",Body
"how the ODL will be implemented, including the timeline",Body
the financial plan for the implementation,Body
"the financial plan for the first 2 operating years, including capital and operating costs,",Body
"revenues, etc.",Body
a financial forecast for the succeeding 2 operating years,Body
the services and products to be delivered by the ODL,Body
how the ODL will operate and be managed following the implementation,Body
"who will be involved, and what their role/responsibility will be, for both the",Body
implementation and operational stages,Body
RFP: To Develop the Ontario Digital Library Business Plan,Body
March 2003,Body
6666,Body
the marketing and communications plan for the ODL,Body
the commitment of all stakeholders to their responsibilities,Body
The process of developing this business plan must be extremely consultative to ensure that,Body
all stakeholders are engaged in creating a synergistic ODL organization. The proposal must,Body
indicate how this consultative process will be approached.,Body
"The business plan for the ODL must address significant issues. There are, for example,",Body
enormous differences in the financial resources available to libraries mandated to provide,Body
"similar services. Some post-secondary and public libraries, particularly those in large urban",Body
"areas, have the facilities, funding and technological infrastructure necessary to service their",Body
"patrons with electronic services and resources.  Many others, particularly in rural regions, do",Body
not. The proposal must indicate how these issues will be approached.,Body
Milestones,H3
1) A preliminary report will be issued during June 2003.,Body
"2) It is expected that an Interim Report, suitable for distribution to the broader library",Body
"community will be available by August 1, 2003 and that there will be an opportunity",Body
for responses to be evaluated.,Body
3) The business plan must be completed and approved by the ODL Steering Committee,Body
"no later than September 30, 2003.",Body
Approach and Specific Proposal Requirements,H2
The firm/consultant (or proposed team of consultants) will be expected to work closely with,Body
the ODL Steering Committee. Terms of reference for the Committee are in the appendix.,Body
"Given the consultative nature of this business planning process, the firm/consultant will also",Body
be expected to travel and communicate regularly with various stakeholders as well as with,Body
electronic resource publishers/vendors.,Body
The proposal should include the following information:,Body
a) name of the firm/consultant,Body
"b) names of those individuals who will be engaged in this project, their specific",Body
responsibilities on this project and relevant experience/qualifications,Body
c) description of similar engagements that highlight the firm’s experience in business,Body
planning and building stakeholder commitment,Body
d) references with details of work completed for these references,Body
"e) description of the approach that will be used for completing the business plan,",Body
including a timeline,Body
"f) cost to complete the study including estimated expenses (i.e.: travel, etc.) and payment",Body
structure,Body
RFP: To Develop the Ontario Digital Library Business Plan,Body
March 2003,Body
7777,Body
Evaluation and Awarding of Contract,H2
The contract will be awarded to the bidder whose submission offers the best value; the contract will,Body
not necessarily be awarded to the lowest bidder. We reserve the right not to award the contract to,Body
any of the bidders responding to this RFP and we may seek further response.,Body
"Specifically, proposals will be evaluated proposals according to the following criteria:",Body
Quality of the proposal /approach outlined for undertaking the business planning process,Body
Demonstrated experience,Body
"Cost, including expenses",Body
Timeline and projected completion date,Body
Other relevant factors as determined by the ODL Steering Committee,Body
Questions regarding this RFP should be directed by e-mail only to Michael Ridley,Body
(mridley@uoguelph.ca).,Body
Bidders are asked not to contact any other member of the ODL Catalyst Team or the ODL Steering,Body
Committee.,Body
RFP: To Develop the Ontario Digital Library Business Plan,Body
March 2003,Body
8888,Body
Appendix A:  ODL Envisioned Phases & Funding,Body
Phase I:  Business Planning,Body
Timeline: March 2003 – September 2003,Body
"Funding Requested: ~$100,000 jointly funded by stakeholder groups and the provincial government.",Body
Result: The ODL business plan,Body
"The first phase will be to build the ODL business plan. This plan will clearly define the ODL’s services,",Body
"funding and governance structures, as well as implementation plans for 2003-2005. It will also secure",Body
